department,first_name,last_name,rmp_score,num_reviews,profile_url
Mathematics,John,Helms,3.8,31,https://ucsbplat.com/instructor/VGVhY2hlci0xODA2Mjk0
Mathematics,Jeremy,Brightbill,4.5,30,https://ucsbplat.com/instructor/VGVhY2hlci0yNjU5MTQw
Mathematics,Shaya,Shakerian,4.7,30,https://ucsbplat.com/instructor/VGVhY2hlci0yNDY2MjQz
Mathematics,James,Tener,4.4,29,https://ucsbplat.com/instructor/VGVhY2hlci0yMDUzODQw
Mathematics,Ryan,Ottman,3.5,29,https://ucsbplat.com/instructor/VGVhY2hlci0xMTY2NTI3
Mathematics,Stephan,Paul,4.6,29,https://ucsbplat.com/instructor/VGVhY2hlci0yMDg2MDAz
Mathematics,Yitang,Zhang,4.0,28,https://ucsbplat.com/instructor/VGVhY2hlci0yMjczNDA3
Mathematics,Viktor,Grigoryan,4.1,28,https://ucsbplat.com/instructor/VGVhY2hlci0xMTk1NzI5
Mathematics,Shoo,Seto,3.0,28,https://ucsbplat.com/instructor/VGVhY2hlci0yMDUzODQ2
Mathematics,Claire,Levaillant,2.7,27,https://ucsbplat.com/instructor/VGVhY2hlci0xNjkyMzIx
Mathematics,Eric,Chen,3.8,27,https://ucsbplat.com/instructor/VGVhY2hlci0yNTQzNDA3
Mathematics,Tiancong,Chen,3.8,26,https://ucsbplat.com/instructor/VGVhY2hlci0xODM4OTc1
Mathematics,Huachen,Chen,3.8,25,https://ucsbplat.com/instructor/VGVhY2hlci0yNTU2NDMz
Mathematics,Lihui,Chai,2.2,25,https://ucsbplat.com/instructor/VGVhY2hlci0xOTA3MjM4
Mathematics,Francesc,Castella,4.5,25,https://ucsbplat.com/instructor/VGVhY2hlci0yNTY0NTQ4
Mathematics,Koratti,Sivakumar,1.8,24,https://ucsbplat.com/instructor/VGVhY2hlci0yNTczMDk1
Mathematics,Geunho,Lim,2.1,24,https://ucsbplat.com/instructor/VGVhY2hlci0yNjMwODAz
Mathematics,Christopher,Lopez,2.5,24,https://ucsbplat.com/instructor/VGVhY2hlci0yNDA4MDI0
Mathematics,Yugen,Shu,2.1,23,https://ucsbplat.com/instructor/VGVhY2hlci0xMTAxMzU4
Mathematics,Chetan,Pahlajani,3.8,21,https://ucsbplat.com/instructor/VGVhY2hlci0xMDg0Njg4
Mathematics,Jordan,Schettler,4.8,21,https://ucsbplat.com/instructor/VGVhY2hlci0xNzgzNTIz
Mathematics,Sian,Fryer,4.4,19,https://ucsbplat.com/instructor/VGVhY2hlci0yMTgzOTkx
Mathematics,Robert,Sulway,2.8,19,https://ucsbplat.com/instructor/VGVhY2hlci0xMTYyNjI2
Mathematics,Qing,Zhang,4.8,18,https://ucsbplat.com/instructor/VGVhY2hlci0yOTQ3NDk4
Mathematics,Michael,Landrigan,2.2,17,https://ucsbplat.com/instructor/VGVhY2hlci0xMTYyNjg4
Mathematics,Nick,Bragman,4.5,17,https://ucsbplat.com/instructor/VGVhY2hlci0yNTMyNjg2
Mathematics,Quyuan,Lin,4.8,17,https://ucsbplat.com/instructor/VGVhY2hlci0yNzMxMjYx
Mathematics,Ilesanmi,Adeboye,4.1,16,https://ucsbplat.com/instructor/VGVhY2hlci0xMTk1NTE0
Mathematics,Hailong,Guo,4.2,15,https://ucsbplat.com/instructor/VGVhY2hlci0yMDU5ODM5
